t,scale_R_gps,scale_Q,scale_gate
68.231209,1.500000,1.000000,1.000000
68.341447,1.500000,1.000000,1.000000
68.441203,1.500000,1.000000,1.000000
68.541204,1.500000,1.000000,1.000000
68.651189,1.500000,1.000000,1.000000
68.751173,1.500000,1.000000,1.000000
68.861186,1.500000,1.000000,1.000000
68.961175,1.500000,1.000000,1.000000
69.061206,1.500000,1.000000,1.000000
69.171144,1.500000,1.000000,1.000000
69.271133,1.500000,1.000000,1.000000
69.371122,1.500000,1.000000,1.000000
69.481127,1.500000,1.000000,1.000000
69.581092,1.500000,1.000000,1.000000
69.691218,1.500000,1.000000,1.000000
69.791270,1.500000,1.000000,1.000000
69.891181,1.500000,1.000000,1.000000
70.000984,1.500000,1.000000,1.000000
70.100994,1.500000,1.000000,1.000000
70.211014,1.500000,1.000000,1.000000
70.311225,1.500000,1.000000,1.000000
70.411024,1.500000,1.000000,1.000000
70.520956,1.500000,1.000000,1.000000
70.620971,1.500000,1.000000,1.000000
70.730948,1.500000,1.000000,1.000000
70.831021,1.500000,1.000000,1.000000
70.930914,1.500000,1.000000,1.000000
71.040858,1.500000,1.000000,1.000000
71.140840,1.500000,1.000000,1.000000
71.250864,1.500000,1.000000,1.000000
71.350922,1.500000,1.000000,1.000000
71.450871,1.500000,1.000000,1.000000
71.560822,1.500000,1.000000,1.000000
71.660796,1.500000,1.000000,1.000000
71.770800,1.500000,1.000000,1.000000
71.870829,1.500000,1.000000,1.000000
